,date,pm25,pm10,o3,no2,so2,co,Lat,Long,City,District,Country
9654,2021/9/18,36,17,35,8,4,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9655,2021/9/19,42,16,34,7,4,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9656,2021/9/20,38,12,32,5,0,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9657,2021/9/21,27,21,41,6,0,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9658,2021/9/22,48,12,36,5,0,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9659,2021/9/23,33,16,37,6,3,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9660,2021/9/24,33,13,29,5,3,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9661,2021/9/25,29,13,26,4,3,1,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9662,2021/9/26,29,15,34,5,4,1,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9663,2021/9/27,32,16,31,5,4,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9664,2021/9/28,33,17,20,7,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9665,2021/9/29,38,13,30,5,0,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9666,2021/9/30,29,24,43,7,4,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9667,2021/4/1,42,45,40,7,4,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9668,2021/4/2,45,23,31,8,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9669,2021/4/3,29,7,23,6,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9670,2021/4/4,19,15,36,7,0,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9671,2021/4/5,31,24,44,10,3,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9672,2021/4/6,51,30,42,13,3,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9673,2021/4/7,62,29,41,11,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9674,2021/4/8,54,29,46,9,3,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9675,2021/4/9,52,25,41,7,3,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9676,2021/4/10,56,18,47,6,3,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9677,2021/4/11,42,12,35,9,6,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9678,2021/4/12,30,14,32,5,2,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9679,2021/4/13,32,20,40,4,3,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9680,2021/4/14,36,22,41,9,3,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9681,2021/4/15,43,24,37,11,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9682,2021/4/16,43,48,34,7,2,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9683,2021/4/17,48,31,38,5,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9684,2021/4/18,42,31,50,10,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9685,2021/4/19,51,38,60,13,2,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9686,2021/4/20,62,41,70,12,6,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9687,2021/4/21,63,42,50,15,10,9,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9688,2021/4/22,65,33,47,8,6,7,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9689,2021/4/23,52,24,45,5,3,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9690,2021/4/24,46,27,51,7,4,7,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9691,2021/4/25,57,19,46,6,5,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9692,2021/4/26,33,19,38,9,7,8,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9693,2021/4/27,36,51,43,7,4,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9694,2021/4/28,57,64,52,7,4,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9695,2021/4/29,68,35,44,5,4,7,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9696,2021/4/30,53,20,39,5,4,7,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9697,2021/5/1,37,18,37,6,4,7,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9698,2021/5/2,37,15,40,6,4,7,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9699,2021/5/3,32,16,36,5,4,8,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9700,2021/5/4,32,33,41,6,0,7,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9701,2021/5/5,36,45,37,7,2,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9702,2021/5/6,40,122,38,7,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9703,2021/5/7,82,199,54,6,0,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9704,2021/5/8,119,70,36,5,2,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9705,2021/5/9,56,22,42,7,3,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9706,2021/5/10,27,26,39,6,5,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9707,2021/5/11,42,24,39,6,3,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9708,2021/5/12,44,32,56,9,4,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9709,2021/5/13,64,22,50,8,6,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9710,2021/5/14,49,15,33,5,3,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9711,2021/5/15,34,6,28,4,2,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9712,2021/5/16,12,9,20,6,2,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9713,2021/5/17,22,15,32,7,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9714,2021/5/18,36,22,45,7,4,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9715,2021/5/19,52,15,42,6,3,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9716,2021/5/20,37,16,45,5,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9717,2021/5/21,36,19,49,6,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9718,2021/5/22,45,25,48,6,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9719,2021/5/23,55,30,45,7,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9720,2021/5/24,59,64,42,6,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9721,2021/5/25,61,35,40,6,0,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9722,2021/5/26,44,22,44,6,0,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9723,2021/5/27,36,30,52,7,2,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9724,2021/5/28,57,26,46,6,2,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9725,2021/5/29,52,25,47,6,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9726,2021/5/30,47,28,60,6,2,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9727,2021/5/31,52,36,59,8,4,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9728,2021/6/1,62,32,45,7,3,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9729,2021/6/2,63,12,37,6,2,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9730,2021/6/3,26,15,43,6,0,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9731,2021/6/4,24,34,66,7,2,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9732,2021/6/5,67,35,67,6,0,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9733,2021/6/6,66,32,50,7,2,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9734,2021/6/7,61,19,44,7,1,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9735,2021/6/8,42,24,58,7,3,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9736,2021/6/9,59,26,42,7,6,8,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9737,2021/6/10,60,13,41,5,0,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9738,2021/6/11,32,28,49,6,2,7,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9739,2021/6/12,69,23,42,5,1,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9740,2021/6/13,62,24,47,7,2,7,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9741,2021/6/14,63,16,29,6,2,7,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9742,2021/6/15,42,8,33,3,1,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9743,2021/6/16,16,13,22,5,1,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9744,2021/6/17,27,11,23,5,1,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9745,2021/6/18,22,21,57,6,0,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9746,2021/6/19,44,23,43,5,2,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9747,2021/6/20,51,24,44,7,2,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9748,2021/6/21,57,25,45,6,2,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9749,2021/6/22,56,21,36,5,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9750,2021/6/23,49,18,35,5,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9751,2021/6/24,39,18,36,5,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9752,2021/6/25,48,20,56,5,4,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9753,2021/6/26,58,22,54,5,3,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9754,2021/6/27,58,25,35,6,2,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9755,2021/6/28,61,24,40,5,2,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9756,2021/6/29,59,28,60,8,5,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9757,2021/6/30,68,26,51,6,3,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9758,2021/1/4,72,21,26,8,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9759,2021/1/5,65,12,22,6,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9760,2021/1/6,34,16,21,3,2,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9761,2021/1/7,41,12,20,7,3,9,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9762,2021/1/8,47,12,20,10,3,8,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9763,2021/1/9,44,18,19,12,2,8,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9764,2021/1/10,52,21,7,21,3,7,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9765,2021/1/11,64,24,22,19,4,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9766,2021/1/12,64,57,25,21,4,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9767,2021/1/13,68,53,27,19,5,7,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9768,2021/1/14,83,42,28,17,4,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9769,2021/1/15,67,46,24,5,3,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9770,2021/1/16,75,13,24,5,3,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9771,2021/1/17,41,35,25,12,4,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9772,2021/1/18,64,19,23,13,0,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9773,2021/1/19,38,17,26,18,4,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9774,2021/1/20,43,16,25,16,4,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9775,2021/1/21,43,16,11,23,4,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9776,2021/1/22,52,15,17,17,4,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9777,2021/1/23,45,12,26,8,0,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9778,2021/1/24,36,17,28,13,4,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9779,2021/1/25,41,15,30,11,4,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9780,2021/1/26,48,25,29,0,4,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9781,2021/1/27,48,30,28,1,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9782,2021/1/28,54,22,26,0,4,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9783,2021/1/29,43,45,28,17,4,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9784,2021/1/30,61,46,37,14,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9785,2021/1/31,59,42,31,17,5,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9786,2021/2/1,86,31,29,7,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9787,2021/2/2,56,23,26,13,0,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9788,2021/2/3,47,23,29,11,0,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9789,2021/2/4,48,21,24,19,3,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9790,2021/2/5,46,28,35,20,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9791,2021/2/6,60,52,38,14,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9792,2021/2/7,101,21,28,5,4,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9793,2021/2/8,47,16,28,9,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9794,2021/2/9,37,23,31,16,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9795,2021/2/10,49,31,34,15,5,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9796,2021/2/11,74,39,40,18,7,8,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9797,2021/2/12,87,35,39,16,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9798,2021/2/13,84,28,29,16,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9799,2021/2/14,65,23,32,7,3,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9800,2021/2/15,56,18,28,6,3,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9801,2021/2/16,39,17,27,5,0,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9802,2021/2/17,42,24,29,4,0,7,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9803,2021/2/18,37,22,37,12,4,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9804,2021/2/19,47,43,42,20,5,7,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9805,2021/2/20,81,37,43,15,5,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9806,2021/2/21,76,36,40,15,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9807,2021/2/22,69,27,30,11,4,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9808,2021/2/23,41,40,12,24,4,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9809,2021/2/24,69,21,24,23,5,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9810,2021/2/25,54,12,34,9,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9811,2021/2/26,32,17,34,7,4,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9812,2021/2/27,37,15,31,7,4,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9813,2021/2/28,33,9,28,7,5,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9814,2021/3/1,20,11,32,6,0,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9815,2021/3/2,36,16,36,9,4,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9816,2021/3/3,48,15,21,12,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9817,2021/3/4,39,13,26,12,0,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9818,2021/3/5,29,28,38,13,5,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9819,2021/3/6,64,25,34,6,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9820,2021/3/7,52,32,38,11,4,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9821,2021/3/8,70,28,41,12,4,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9822,2021/3/9,67,38,55,15,6,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9823,2021/3/10,78,38,41,16,5,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9824,2021/3/11,72,11,35,9,3,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9825,2021/3/12,32,15,35,8,1,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9826,2021/3/13,42,28,38,9,1,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9827,2021/3/14,71,34,40,12,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9828,2021/3/15,73,47,34,9,1,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9829,2021/3/16,51,59,26,11,2,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9830,2021/3/17,52,53,42,11,3,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9831,2021/3/18,58,44,37,11,5,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9832,2021/3/19,51,18,28,8,3,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9833,2021/3/20,36,38,37,6,0,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9834,2021/3/21,70,33,34,6,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9835,2021/3/22,42,55,43,12,3,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9836,2021/3/23,59,39,36,13,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9837,2021/3/24,45,39,46,12,3,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9838,2021/3/25,55,47,54,11,3,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9839,2021/3/26,65,24,46,7,3,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9840,2021/3/27,43,18,41,7,0,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9841,2021/3/28,48,334,31,9,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9842,2021/3/29,136,146,35,11,2,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9843,2021/3/30,87,57,63,12,4,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9844,2021/3/31,59,41,39,7,2,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9845,2020/10/1,53,0,28,3,2,1,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9846,2020/10/2,46,0,34,4,2,1,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9847,2020/10/3,51,25,26,4,0,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9848,2020/10/4,52,18,22,2,1,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9849,2020/10/5,27,15,25,5,1,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9850,2020/10/6,33,17,27,8,1,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9851,2020/10/7,42,13,28,5,0,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9852,2020/10/8,32,15,28,6,0,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9853,2020/10/9,37,20,30,7,1,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9854,2020/10/10,48,21,30,5,1,1,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9855,2020/10/11,55,27,34,6,1,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9856,2020/10/12,66,17,26,6,1,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9857,2020/10/13,39,22,29,7,1,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9858,2020/10/14,46,19,25,8,1,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9859,2020/10/15,41,27,9,15,1,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9860,2020/10/16,54,23,31,9,1,1,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9861,2020/10/17,58,23,30,8,1,1,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9862,2020/10/18,59,25,31,10,1,1,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9863,2020/10/19,57,28,32,10,2,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9864,2020/10/20,60,26,20,11,1,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9865,2020/10/21,54,30,27,8,1,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9866,2020/10/22,49,24,23,3,0,0,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9867,2020/10/23,26,16,24,6,1,1,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9868,2020/10/24,30,21,30,7,1,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9869,2020/10/25,48,25,29,11,2,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9870,2020/10/26,59,35,27,16,1,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9871,2020/10/27,80,43,36,13,2,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9872,2020/10/28,83,20,24,10,1,1,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9873,2020/10/29,43,27,24,15,1,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9874,2020/10/30,62,21,27,12,1,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9875,2020/10/31,49,14,14,10,1,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9876,2020/11/1,46,31,24,9,1,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9877,2020/11/2,48,23,22,5,1,1,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9878,2020/11/3,35,18,24,8,1,1,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9879,2020/11/4,38,28,17,15,4,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9880,2020/11/5,54,31,8,22,3,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9881,2020/11/6,62,35,35,12,3,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9882,2020/11/7,71,44,22,10,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9883,2020/11/8,62,20,24,8,2,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9884,2020/11/9,32,20,23,10,2,2,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9885,2020/11/10,42,21,21,14,2,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9886,2020/11/11,51,26,21,17,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9887,2020/11/12,61,32,24,15,0,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9888,2020/11/13,72,36,30,14,3,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9889,2020/11/14,77,30,27,11,0,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9890,2020/11/15,68,35,24,15,4,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9891,2020/11/16,76,33,31,8,3,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9892,2020/11/17,74,20,23,5,2,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9893,2020/11/18,45,14,20,6,1,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9894,2020/11/19,28,16,20,4,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9895,2020/11/20,38,16,22,7,3,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9896,2020/11/21,44,15,20,6,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9897,2020/11/22,41,17,19,4,2,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9898,2020/11/23,40,12,18,9,2,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9899,2020/11/24,38,16,24,11,0,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9900,2020/11/25,48,26,22,14,4,6,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9901,2020/11/26,68,28,20,11,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9902,2020/11/27,63,13,20,3,2,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9903,2020/11/28,28,14,19,6,2,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9904,2020/11/29,44,17,23,7,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9905,2020/11/30,47,16,17,14,3,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9906,2020/12/1,42,19,16,17,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9907,2020/12/2,48,19,22,12,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9908,2020/12/3,50,16,22,7,0,3,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9909,2020/12/4,42,23,20,16,0,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9910,2020/12/5,57,25,19,17,2,4,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
9911,2020/12/6,60,31,21,17,4,5,35.0599,126.9846,Hwasun-Eup,Jeonnam, South Korea
